id,name,H,HR,AVG,SLG,OPS
592450,"Judge, Aaron",105,34,0.306,0.679,1.112
660271,"Ohtani, Shohei",117,29,0.316,0.635,1.035
665742,"Soto, Juan",101,23,0.295,0.558,0.984
547180,"Harper, Bryce",91,21,0.301,0.579,0.982
646240,"Devers, Rafael",92,23,0.295,0.599,0.977
542303,"Ozuna, Marcell",107,26,0.303,0.581,0.96
683002,"Henderson, Gunnar",108,28,0.286,0.584,0.957
667670,"Rooker Jr., Brent",88,21,0.291,0.573,0.942
592885,"Yelich, Christian",85,11,0.326,0.521,0.933
677951,"Witt Jr., Bobby",125,16,0.323,0.558,0.927
680757,"Kwan, Steven",99,9,0.352,0.512,0.919
670541,"Alvarez, Yordan",101,19,0.296,0.531,0.913
621043,"Correa, Carlos",86,13,0.308,0.52,0.897
605141,"Betts, Mookie",86,10,0.304,0.488,0.893
518692,"Freeman, Freddie",103,14,0.291,0.492,0.887
606466,"Marte, Ketel",105,19,0.292,0.515,0.877
595777,"Profar, Jurickson",103,14,0.305,0.476,0.87
682985,"Greene, Riley",96,17,0.271,0.503,0.867
669701,"Smith, Josh",85,10,0.293,0.469,0.861
608070,"Ram?rez, Jos?",100,23,0.271,0.518,0.842
669257,"Smith, Will",82,15,0.272,0.492,0.838
572233,"Walker, Christian",97,22,0.264,0.495,0.838
668804,"Reynolds, Bryan",110,18,0.284,0.487,0.834
608369,"Seager, Corey",85,18,0.27,0.479,0.834
682928,"Abrams, CJ",95,15,0.268,0.489,0.832
656941,"Schwarber, Kyle",80,19,0.249,0.455,0.831
664761,"Bohm, Alec",107,11,0.295,0.482,0.83
682829,"De La Cruz, Elly",92,17,0.256,0.483,0.829
683737,"Busch, Michael",79,12,0.271,0.466,0.823
670623,"Paredes, Isaac",86,15,0.261,0.459,0.823
665487,"Tatis Jr., Fernando",86,14,0.279,0.468,0.822
521692,"Perez, Salvador",97,17,0.282,0.477,0.82
680776,"Duran, Jarren",113,10,0.284,0.477,0.819
647304,"Naylor, Josh",82,22,0.246,0.491,0.816
514888,"Altuve, Jose",118,14,0.306,0.461,0.815
665489,"Guerrero Jr., Vladimir",107,14,0.288,0.456,0.815
607043,"Nimmo, Brandon",84,16,0.248,0.454,0.815
676475,"Burleson, Alec",91,17,0.288,0.494,0.814
686668,"Doyle, Brenton",92,15,0.276,0.471,0.814
676059,"Westburg, Jordan",93,15,0.271,0.496,0.814
673548,"Suzuki, Seiya",76,13,0.27,0.479,0.813
664023,"Happ, Ian",79,15,0.243,0.458,0.81
608385,"Winker, Jesse",77,11,0.26,0.432,0.806
663697,"India, Jonathan",85,8,0.275,0.427,0.804
623993,"Santander, Anthony",82,24,0.237,0.503,0.804
606192,"Hern?ndez, Teoscar",95,19,0.261,0.475,0.802
681351,"O'Hoppe, Logan",80,14,0.276,0.472,0.8
641857,"McMahon, Ryan",98,14,0.272,0.447,0.797
661388,"Contreras, William",108,11,0.286,0.44,0.792
596019,"Lindor, Francisco",97,17,0.253,0.454,0.783
668939,"Rutschman, Adley",100,16,0.275,0.441,0.78
663586,"Riley, Austin",80,12,0.257,0.45,0.779
668715,"Steer, Spencer",84,15,0.242,0.441,0.778
650489,"Castro, Willi",90,7,0.265,0.422,0.774
624413,"Alonso, Pete",88,19,0.24,0.454,0.773
678662,"Tovar, Ezequiel",108,14,0.274,0.462,0.764
642715,"Adames, Willy",91,15,0.246,0.43,0.76
600869,"Candelario, Jeimer",78,16,0.241,0.461,0.759
663624,"Mountcastle, Ryan",92,12,0.271,0.447,0.758
671277,"Garc?a, Luis",86,11,0.281,0.444,0.757
680977,"Donovan, Brendan",98,8,0.276,0.411,0.756
467793,"Santana, Carlos",75,13,0.244,0.427,0.753
630105,"Cronenworth, Jake",92,13,0.257,0.43,0.752
701538,"Merrill, Jackson",92,12,0.278,0.435,0.745
641355,"Bellinger, Cody",84,9,0.269,0.41,0.741
592518,"Machado, Manny",93,13,0.267,0.422,0.741
691026,"Winn, Masyn",91,5,0.284,0.406,0.738
665833,"Cruz, Oneil",78,14,0.246,0.438,0.737
687263,"Neto, Zach",80,12,0.251,0.433,0.735
663728,"Raleigh, Cal",68,20,0.216,0.435,0.734
668709,"Bleday, JJ",80,11,0.23,0.42,0.733
686469,"Pasquantino, Vinnie",83,11,0.26,0.421,0.731
668930,"Turang, Brice",93,6,0.277,0.39,0.731
608324,"Bregman, Alex",94,12,0.256,0.414,0.73
656305,"Chapman, Matt",84,13,0.235,0.411,0.73
665862,"Chisholm Jr., Jazz",88,12,0.249,0.407,0.728
663837,"Vierling, Matt",78,12,0.248,0.439,0.726
650490,"D?az, Yandy",104,8,0.273,0.396,0.725
645277,"Albies, Ozzie",90,8,0.258,0.41,0.722
657041,"Thomas, Lane",68,8,0.252,0.404,0.722
672284,"Kelenic, Jarred",70,10,0.255,0.418,0.721
663993,"Lowe, Nathaniel",69,6,0.262,0.373,0.721
650333,"Arraez, Luis",122,2,0.31,0.378,0.72
656582,"Joe, Connor",64,7,0.242,0.39,0.72
673237,"Diaz, Yainer",93,7,0.284,0.409,0.717
666971,"Gurriel Jr., Lourdes",94,13,0.264,0.421,0.716
457705,"McCutchen, Andrew",69,12,0.226,0.387,0.715
621566,"Olson, Matt",81,13,0.229,0.405,0.714
621493,"Ward, Taylor",78,14,0.228,0.401,0.713
681624,"Pages, Andy",74,8,0.257,0.399,0.706
571448,"Arenado, Nolan",93,8,0.27,0.381,0.704
686217,"Frelick, Sal",80,2,0.275,0.354,0.703
690993,"Keith, Colt",74,9,0.253,0.394,0.703
543760,"Semien, Marcus",93,13,0.242,0.392,0.703
673490,"Kim, Ha-Seong",73,10,0.226,0.375,0.702
676914,"Schneider, Davis",56,10,0.217,0.391,0.702
624585,"Soler, Jorge",68,10,0.225,0.397,0.702
669127,"Langeliers, Shea",61,17,0.213,0.436,0.701
650559,"De La Cruz, Bryan",92,16,0.242,0.411,0.7
665161,"Pe?a, Jeremy",99,7,0.274,0.382,0.7
657557,"DeJong, Paul",69,16,0.226,0.423,0.697
657757,"Sheets, Gavin",62,7,0.225,0.377,0.693
662139,"Varsho, Daulton",59,11,0.202,0.408,0.693
669357,"Gorman, Nolan",64,17,0.206,0.413,0.692
678882,"Rafaela, Ceddanne",81,11,0.246,0.419,0.691
666624,"Morel, Christopher",69,18,0.202,0.387,0.69
677594,"Rodr?guez, Julio",100,10,0.267,0.372,0.69
663898,"Rodgers, Brendan",76,6,0.262,0.383,0.689
683734,"Vaughn, Andrew",80,11,0.237,0.392,0.685
663538,"Hoerner, Nico",86,4,0.256,0.348,0.684
666969,"Garc?a, Adolis",72,17,0.211,0.405,0.682
457759,"Turner, Justin",61,5,0.231,0.345,0.68
592206,"Castellanos, Nick",86,13,0.233,0.39,0.679
543807,"Springer III, George",73,10,0.225,0.366,0.676
681082,"Stott, Bryson",72,6,0.238,0.35,0.676
592192,"Canha, Mark",66,6,0.228,0.341,0.675
664034,"France, Ty",67,8,0.228,0.357,0.674
694384,"Schanuel, Nolan",75,8,0.238,0.349,0.672
668227,"Arozarena, Randy",66,12,0.202,0.362,0.671
657077,"Verdugo, Alex",84,10,0.235,0.378,0.67
553993,"Su?rez, Eugenio",69,10,0.216,0.366,0.668
683011,"Volpe, Anthony",99,6,0.245,0.366,0.666
502671,"Goldschmidt, Paul",85,13,0.23,0.373,0.664
641487,"Crawford, J.P.",59,9,0.209,0.358,0.662
671289,"Freeman, Tyler",58,7,0.217,0.345,0.66
650402,"Torres, Gleyber",77,8,0.231,0.347,0.654
680869,"Gelof, Zack",57,12,0.204,0.38,0.648
605137,"Bell, Josh",82,9,0.228,0.356,0.645
641598,"Garver, Mitch",47,12,0.174,0.356,0.645
641680,"Heim, Jonah",71,8,0.241,0.354,0.644
665926,"Gim?nez, Andr?s",87,5,0.252,0.339,0.643
669394,"Burger, Jake",64,10,0.225,0.37,0.635
682998,"Carroll, Corbin",75,5,0.212,0.334,0.635
665750,"Taveras, Leody",69,6,0.228,0.338,0.633
621020,"Swanson, Dansby",65,9,0.212,0.35,0.632
672580,"Garcia, Maikel",87,6,0.23,0.344,0.626
696285,"Young, Jacob",67,1,0.248,0.307,0.618
642731,"Estrada, Thairo",70,9,0.221,0.356,0.608
666182,"Bichette, Bo",67,4,0.222,0.321,0.596
608841,"Meneses, Joey",65,3,0.231,0.302,0.593
643446,"McNeil, Jeff",64,5,0.216,0.314,0.59
606115,"Arcia, Orlando",67,7,0.211,0.333,0.577
